iter	Passed	Remaining
588	90012	48139
589	90180	47994
590	90324	47836
591	90487	47689
592	90635	47533
593	90776	47375
594	90923	47219
595	91065	47060
596	91213	46905
597	91390	46765
598	91555	46618
599	91700	46461
600	91852	46308
601	92024	46165
602	92180	46014
603	92333	45860
604	92476	45703
605	92620	45545
606	92786	45399
607	92949	45251
608	93106	45100
609	93263	44949
610	93448	44812
611	93607	44662
612	93748	44503
613	93891	44345
614	94068	44204
615	94207	44045
616	94345	43885
617	94482	43724
618	94619	43564
619	94755	43403
620	94891	43243
621	95040	43089
622	95172	42926
623	95340	42781
624	95500	42631
625	95645	42475
626	95787	42317
627	95936	42163
628	96120	42023
629	96265	41867
630	96411	41712
631	96568	41561
632	96761	41425
633	96910	41270
634	97048	41111
635	97191	40954
636	97376	40815
637	97527	40662
638	97671	40505
639	97806	40345
640	97961	40193
641	98127	40045
642	98270	39889
643	98414	39732
644	98562	39577
645	98704	39420
646	98830	39257
647	98979	39102
648	99129	38949
649	99285	38797
650	99454	38651
651	99596	38494
652	99740	38338
653	99873	38178
654	100054	38036
655	100197	37879
656	100334	37720
657	100475	37563
658	100613	37405
659	100760	37250
660	100901	37094
661	101042	36937
662	101183	36780
663	101339	36628
664	101491	36475
665	101627	36317
666	101762	36158
667	101910	36004
668	102083	35859
669	102238	35707
670	102384	35552
671	102535	35399
672	102695	35248
673	102846	35096
674	102983	34938
675	103128	34782
676	103278	34629
677	103439	34479
678	103576	34322
679	103713	34164
680	103850	34006
681	104025	33861
682	104172	33707
683	104311	33550
684	104463	33397
685	104613	33244
686	104775	33095
687	104931	32943
688	105074	32788
689	105231	32636
690	105419	32495
691	105566	32341
692	105719	32188
693	105885	32040
694	106063	31895
695	106224	31745
696	106381	31594
697	106522	31437
698	106662	31281
699	106802	31125
700	106953	30972
701	107080	30812
702	107231	30659
703	107410	30514
704	107542	30356
705	107680	30199
706	107820	30043
707	107980	29893
708	108141	29742
709	108284	29587
710	108434	29434
711	108592	29283
712	108746	29131
713	108894	28977
714	109042	28823
715	109200	28672
716	109380	28527
717	109538	28376
718	109682	28221
719	109842	28070
720	110114	27948
721	110276	27798
722	110438	27647
723	110582	27492
724	110728	27338
725	110884	27186
726	111026	27031
727	111169	26876
728	111344	26728
729	111500	26576
730	111661	26426
731	111814	26273
732	111984	26124
733	112147	25974
734	112316	25825
735	112510	25681
736	112725	25543
737	112910	25397
738	113123	25257
739	113420	25136
740	113602	24989
741	113765	24838
742	113933	24688
743	114102	24538
744	114253	24384
745	114400	24229
746	114573	24080
747	114719	23925
748	114887	23775
749	115029	23619
750	115193	23468
751	115399	23325
752	115563	23174
753	115809	23039
754	116097	22911
755	116311	22770
756	116497	22622
757	116681	22474
758	116851	22323
759	117009	22170
760	117184	22020
761	117445	21886
762	117638	21739
763	117850	21595
764	118098	21458
765	118277	21308
766	118447	21156
767	118602	21002
768	118775	20851
769	118948	20700
770	119124	20549
771	119342	20405
772	119524	20255
773	119701	20104
774	119933	19963
775	120109	19811
776	120275	19658
777	120455	19508
778	120636	19357
779	120821	19207
780	120994	19055
781	121162	18902
782	121347	18752
783	121503	18597
784	121647	18440
785	121798	18285
786	121965	18132
787	122138	17979
788	122297	17825
789	122449	17669
790	122614	17516
791	122781	17363
792	123025	17220
793	123442	17101
794	123632	16950
795	123818	16799
796	124076	16657
797	124285	16509
798	124470	16357
799	124638	16202
800	124806	16048
801	124987	15896
802	125183	15745
803	125390	15595
804	125567	15442
805	125738	15288
806	125928	15136
807	126223	14996
808	126431	14846
809	126608	14692
810	126753	14535
811	126903	14378
812	127061	14222
813	127229	14067
814	127416	13914
815	127568	13757
816	127717	13600
817	127870	13443
818	128044	13289
819	128203	13132
820	128359	12976
821	128511	12819
822	128685	12665
823	128830	12507
824	128977	12350
825	129123	12193
826	129324	12041
827	129489	11885
828	129646	11729
829	129808	11573
830	130009	11420
831	130152	11263
832	130318	11107
833	130471	10950
834	130623	10794
835	130787	10638
836	130965	10483
837	131127	10327
838	131308	10172
839	131456	10015
840	131604	9858
841	131840	9707
842	132044	9554
843	132215	9399
844	132370	9242
845	132527	9085
846	132685	8929
847	132837	8772
848	132983	8614
849	133164	8459
850	133384	8307
851	133556	8151
852	133705	7994
853	133865	7837
854	134048	7682
855	134211	7525
856	134403	7371
857	134562	7214
858	134716	7057
859	134871	6900
860	135033	6743
